source_type,headline,related_ticker_or_index,sentiment,impact_sector,impact_strength
해외,"무디스, 미국 신용등급 'Aaa'에서 'Aa1'로 하향 조정","US10Y, USD",-1,전 업종,4
해외,"중국 주요 은행, 금리 인하로 아시아 증시 반등","SSEC, HSI",1,전 업종,3
해외,"미국-한국, 관세 협상 2차 기술 회담 예정","KOSPI, USDKRW=X",1,"수출, 무역",3
해외,"미국 증시, 신용등급 하향에도 불구하고 상승 마감","^GSPC, ^DJI",1,"심리, 투자자 신뢰",2
해외,"아시아-태평양 시장, 중국 금리 인하 결정에 상승","KOSPI, SSEC",1,시장 심리,3
국내,ETF 거래 비중 급증으로 시장 변동성 확대 우려,"TIGER200, KODEX200",-1,"ETF, 파생",3
국내,6월 3일 대통령 선거로 금융시장 휴장 예정,KOSPI,0,시장 유동성,2
국내,"브이엠, SK하이닉스 청주 M15X 공장 증설 수혜 기대","000660.KQ, 099440.KQ",1,반도체,3
국내,코스피 상장사 1분기 실적 개선,KOSPI,1,전 업종,4
국내,"삼성SDI, 1.6조 원 규모 유상증자 결정",006400.KQ,-1,2차전지,2
